"Place","Archer","50m","H2H","FITA","Overall"
1,"Duncan Busby",1,2,1,4
2,"Adam Ravenscroft",2,1,3,6
3,"Liam Grimwood",3,3,4,10
4,"Chris White",7,5,2,14
5,"Vladas Sigauskas",6,5,6,17
6,"Philip Glover",4,9,5,18
7,"Chris Bell",5,8,7,20
8,"Andrew Jackson",8,7,9,24
9,"Tapani Kalmaru",13,4,8,25
10,"Andy Rikunenko",9,9,12,30
11,"Jon Nott",14,9,16,39
12,"Alex Bradley",10,9,20,39
13,"Jonas Serna",19,17,11,47
14,"James King",17,17,14,48
15,"Christopher Cassells",16,9,27,52
16,"Chris Earp",18,17,19,54
17,"Tony Fletcher",15,9,32,56
18,"James Bingham",26,17,15,58
19,"Steve Brunt",20,17,23,60
20,"Jake Burn",32,17,13,62
21,"Ben Humphrys",22,17,24,63
22,"Mike Kells",21,33,10,64
23,"Leigh Bradley",24,17,25,66
24,"Alex Purser",25,17,30,72
25,"Richard Hennahane",23,33,18,74
26,"Stephen Brownhill",38,17,22,77
27,"Tom Patchell",31,17,31,79
28,"Mark Garner",30,17,34,81
29,"Mark Constable",37,17,29,83
30,"Chris Price",39,33,17,89
31,"Malcolm Rees",28,33,28,89
32,"Kim Bulley",36,17,37,90
33,"Adrian Blewett",42,17,33,92
34,"Steve Glover",27,33,36,96
35,"Milan Frank",40,33,26,99
36,"Alex Evans",44,17,40,101
37,"Dave Humphrys",35,33,35,103
38,"David Fall",33,33,38,104
39,"San Doan",41,33,42,116
40,"Ben Glover",43,33,41,117
41,"Ben Edwards (FGA)",45,33,43,121
42,"Ben Edwards (Leek)",46,33,44,123
